name,photoWeb,photoMobile
Albuquerque,https://d13k13wj6adfdf.cloudfront.net/urban_areas/albuquerque_web-3079b54e59.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/albuquerque-f730c0301f.jpg
Anchorage,https://d13k13wj6adfdf.cloudfront.net/urban_areas/anchorage_web-f4b864de05.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/anchorage-a75ea8617c.jpg
Athens,https://d13k13wj6adfdf.cloudfront.net/urban_areas/athens_web-d8e89c8496.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/athens-325ec1b595.jpg
Atlanta,https://d13k13wj6adfdf.cloudfront.net/urban_areas/atlanta_web-01e0d78232.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/atlanta-9e33744cb4.jpg
Austin,https://d13k13wj6adfdf.cloudfront.net/urban_areas/austin_web-e93a5e75a0.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/austin-f42354c37f.jpg
Baltimore,https://d13k13wj6adfdf.cloudfront.net/urban_areas/baltimore_web-251806a8b8.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/baltimore-14c1f65307.jpg
Birmingham,https://d13k13wj6adfdf.cloudfront.net/urban_areas/birmingham_web-76fdd27a1c.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/birmingham-f603089e10.jpg
Boise,https://d13k13wj6adfdf.cloudfront.net/urban_areas/boise_web-ab609d8f2f.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/boise-d105b2e947.jpg
Boston,https://d13k13wj6adfdf.cloudfront.net/urban_areas/boston_web-550bb970ba.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/boston-7399414b98.jpg
Boulder,https://d13k13wj6adfdf.cloudfront.net/urban_areas/boulder_web-3765374a2b.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/boulder-75be72cfaf.jpg
Buffalo,https://d13k13wj6adfdf.cloudfront.net/urban_areas/buffalo_web-fa914f05b9.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/buffalo-9f2a7e56fa.jpg
Cambridge,https://d13k13wj6adfdf.cloudfront.net/urban_areas/cambridge_web-18308c1a16.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/cambridge-959b693a44.jpg
Charleston,https://d13k13wj6adfdf.cloudfront.net/urban_areas/charleston_web-d8fe7f2811.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/charleston-595fdee96e.jpg
Charlotte,https://d13k13wj6adfdf.cloudfront.net/urban_areas/charlotte_web-062d6f0cd8.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/charlotte-acc065366a.jpg
Chattanooga,https://d13k13wj6adfdf.cloudfront.net/urban_areas/chattanooga_web-9dd6779191.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/chattanooga-faefd3d09a.jpg
Chicago,https://d13k13wj6adfdf.cloudfront.net/urban_areas/chicago_web-b20b0b8249.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/chicago-1e610b84c3.jpg
Cincinnati,https://d13k13wj6adfdf.cloudfront.net/urban_areas/cincinnati_web-5c8d680d6b.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/cincinnati-c45eaa103c.jpg
Cleveland,https://d13k13wj6adfdf.cloudfront.net/urban_areas/cleveland_web-171efbfa3a.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/cleveland-293d4e8c4c.jpg
Colorado Springs,https://d13k13wj6adfdf.cloudfront.net/urban_areas/colorado-springs_web-a8228d2190.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/colorado-springs-ccf32e73d2.jpg
Columbus,https://d13k13wj6adfdf.cloudfront.net/urban_areas/columbus_web-748d46d705.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/columbus-f65f5476cf.jpg
Dallas,https://d13k13wj6adfdf.cloudfront.net/urban_areas/dallas_web-1b0ab83512.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/dallas-a55f677457.jpg
Denver,https://d13k13wj6adfdf.cloudfront.net/urban_areas/denver_web-9726d88300.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/denver-655725fd8b.jpg
Des Moines,https://d13k13wj6adfdf.cloudfront.net/urban_areas/des-moines_web-3ea5b6d3c3.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/des-moines-21042501eb.jpg
Detroit,https://d13k13wj6adfdf.cloudfront.net/urban_areas/detroit_web-fa9062b00a.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/detroit-e0a9dfeff2.jpg
Eugene,https://d13k13wj6adfdf.cloudfront.net/urban_areas/eugene_web-40a357f0c4.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/eugene-c98f529290.jpg
Fort Collins,https://d13k13wj6adfdf.cloudfront.net/urban_areas/fort-collins_web-4f6961e6e4.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/fort-collins-23ecdede12.jpg
Honolulu,https://d13k13wj6adfdf.cloudfront.net/urban_areas/honolulu_web-1b1279edc3.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/honolulu-624c07453d.jpg
Houston,https://d13k13wj6adfdf.cloudfront.net/urban_areas/houston_web-7a1ff7109f.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/houston-0e46f4fbb7.jpg
Indianapolis,https://d13k13wj6adfdf.cloudfront.net/urban_areas/indianapolis_web-de0ee7a5bd.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/indianapolis-0f293b1150.jpg
Jacksonville,https://d13k13wj6adfdf.cloudfront.net/urban_areas/jacksonville_web-cc69395f3f.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/jacksonville-62a5b94ba8.jpg
Kansas City,https://d13k13wj6adfdf.cloudfront.net/urban_areas/kansas-city_web-d977356d14.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/kansas-city-1e8f1c1456.jpg
Knoxville,https://d13k13wj6adfdf.cloudfront.net/urban_areas/knoxville_web-ee19eb4974.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/knoxville-8e071a1579.jpg
Las Vegas,https://d13k13wj6adfdf.cloudfront.net/urban_areas/las-vegas_web-7dc177ab7c.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/las-vegas-6acb21a1fe.jpg
Los Angeles,https://d13k13wj6adfdf.cloudfront.net/urban_areas/los-angeles_web-2eedb2a83e.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/los-angeles-f5b60deb04.jpg
Louisville,https://d13k13wj6adfdf.cloudfront.net/urban_areas/louisville_web-af543d6a99.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/louisville-d5997729f5.jpg
Madison,https://d13k13wj6adfdf.cloudfront.net/urban_areas/madison_web-c8769a2784.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/madison-3d09b9f142.jpg
Memphis,https://d13k13wj6adfdf.cloudfront.net/urban_areas/memphis_web-6015ce820e.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/memphis-6135da61bc.jpg
Miami,https://d13k13wj6adfdf.cloudfront.net/urban_areas/miami_web-9307474a5e.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/miami-730928937f.jpg
Milwaukee,https://d13k13wj6adfdf.cloudfront.net/urban_areas/milwaukee_web-59a01d05ad.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/milwaukee-aa45ba9b6b.jpg
Nashville,https://d13k13wj6adfdf.cloudfront.net/urban_areas/nashville_web-928afede11.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/nashville-79d8242c30.jpg
New Orleans,https://d13k13wj6adfdf.cloudfront.net/urban_areas/new-orleans_web-7a3fec60d7.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/new-orleans-1d86b69be5.jpg
Oklahoma City,https://d13k13wj6adfdf.cloudfront.net/urban_areas/oklahoma-city_web-2d2437c3f2.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/oklahoma-city-429f6bf45d.jpg
Omaha,https://d13k13wj6adfdf.cloudfront.net/urban_areas/omaha_web-43f20ccdd7.jpg,https://d13k13wj6adfdf.cloudfront.net/urban_areas/omaha-65cfdabcd3.jpg
